api_time,greenpower,Early5Min,Early15Min,Early30Min,Early1Hour
T09:05:00+10:00,786.5060241,764,711,844,1063
T09:05:00+10:00,786.5060241,747,714,848,1050
T09:05:00+10:00,786.5060241,724,696,858,981
T09:05:00+10:00,786.5060241,730,697,900,960
T09:05:00+10:00,786.5060241,693,697,889,975
T09:05:00+10:00,963.8554217,684,650,903,973
T09:05:00+10:00,963.8554217,688,606,871,979
T09:05:00+10:00,963.8554217,723,614,864,997
T09:05:00+10:00,963.8554217,743,682,847,1035
T09:05:00+10:00,963.8554217,749,689,884,1023
T09:05:00+10:00,963.8554217,743,689,860,1021
T09:05:00+10:00,963.8554217,727,682,834,1030
T09:10:00+10:00,963.8554217,736,674,842,1010
T09:10:00+10:00,963.8554217,714,689,836,1076
T09:10:00+10:00,963.8554217,726,694,894,1101
T09:10:00+10:00,963.8554217,691,721,875,1062
T09:10:00+10:00,963.8554217,685,655,888,1055
T09:10:00+10:00,963.8554217,685,699,875,1028
T09:10:00+10:00,963.8554217,699,655,862,1055
T09:10:00+10:00,1025.542169,708,626,848,974
T09:10:00+10:00,1025.542169,740,624,860,955
T09:10:00+10:00,1025.542169,686,633,869,969
T09:10:00+10:00,1025.542169,705,642,921,964
T09:10:00+10:00,1025.542169,726,834,913,934
T09:10:00+10:00,1025.542169,714,838,894,939
T09:10:00+10:00,1025.542169,713,863,903,976
T09:10:00+10:00,1025.542169,719,859,881,998
T09:15:00+10:00,1025.542169,722,899,872,874
T09:15:00+10:00,1025.542169,732,839,839,838
T09:15:00+10:00,1025.542169,728,850,857,860
T09:15:00+10:00,1025.542169,693,836,871,893
T09:15:00+10:00,1025.542169,694,853,853,870
T09:15:00+10:00,1025.542169,690,906,805,875
T09:15:00+10:00,1056.385542,697,843,828,871
T09:15:00+10:00,1056.385542,680,824,821,897
T09:15:00+10:00,1056.385542,667,838,828,914
T09:15:00+10:00,1056.385542,671,876,820,937
T09:15:00+10:00,1056.385542,680,824,833,915
T09:15:00+10:00,1056.385542,689,851,853,912
T09:15:00+10:00,1056.385542,685,851,840,912
T09:15:00+10:00,1056.385542,700,850,828,955
T09:20:00+10:00,1056.385542,732,817,836,935
T09:20:00+10:00,1056.385542,731,840,833,941
T09:20:00+10:00,1056.385542,734,821,873,924
T09:20:00+10:00,1056.385542,728,810,870,950
T09:20:00+10:00,1056.385542,738,826,860,848
T09:20:00+10:00,1056.385542,709,840,862,843
T09:20:00+10:00,1087.228916,720,823,864,854
T09:20:00+10:00,1087.228916,725,823,846,844
T09:20:00+10:00,1087.228916,706,862,820,839
T09:20:00+10:00,1087.228916,699,830,851,853
T09:20:00+10:00,1087.228916,697,792,841,922
T09:20:00+10:00,1087.228916,723,829,828,913
T09:20:00+10:00,1087.228916,727,841,825,940
T09:20:00+10:00,1087.228916,888,839,811,1001
T09:25:00+10:00,1087.228916,943,792,823,992
T09:25:00+10:00,1087.228916,956,839,827,964
T09:25:00+10:00,1087.228916,962,744,816,977
T09:25:00+10:00,1087.228916,965,817,835,979
T09:25:00+10:00,1087.228916,965,793,808,965
T09:25:00+10:00,1087.228916,925,817,821,1038
T09:25:00+10:00,1129.638554,920,817,933,1047
T09:25:00+10:00,1129.638554,1004,836,945,1056
T09:25:00+10:00,1129.638554,958,835,935,1042
T09:25:00+10:00,1129.638554,914,866,941,1048
T09:25:00+10:00,1129.638554,938,822,957,992
T09:25:00+10:00,1129.638554,946,787,945,1059
T09:25:00+10:00,1129.638554,1001,805,942,977
T09:25:00+10:00,1129.638554,1006,815,934,978
T09:25:00+10:00,1129.638554,1013,806,1029,973
T09:30:00+10:00,1129.638554,996,802,1052,1007
T09:30:00+10:00,1129.638554,927,820,1136,992
T09:30:00+10:00,1129.638554,935,807,1146,962
T09:30:00+10:00,1129.638554,943,763,1130,1024
T09:30:00+10:00,1129.638554,901,770,1139,1031
T09:30:00+10:00,1156.626506,931,799,1142,1028
T09:30:00+10:00,1156.626506,941,759,1068,999
T09:30:00+10:00,1156.626506,899,718,1065,1014
T09:30:00+10:00,1156.626506,901,734,1063,1012
T09:30:00+10:00,1156.626506,901,750,1082,1028
T09:30:00+10:00,1156.626506,894,749,1055,1027
T09:30:00+10:00,1156.626506,862,744,1115,1037
T09:30:00+10:00,1156.626506,896,789,1158,1036
T09:30:00+10:00,1156.626506,878,792,1200,1039
T09:35:00+10:00,1156.626506,863,782,1207,961
T09:35:00+10:00,1156.626506,840,770,1215,965
T09:35:00+10:00,1156.626506,847,790,1219,969
T09:35:00+10:00,1156.626506,812,758,1146,945
T09:35:00+10:00,1156.626506,844,715,1045,965
T09:35:00+10:00,1137.349398,817,728,1055,962
T09:35:00+10:00,1137.349398,854,766,1032,960
T09:35:00+10:00,1137.349398,880,765,1040,977
T09:35:00+10:00,1137.349398,874,780,996,968
T09:35:00+10:00,1137.349398,885,808,1006,920
T09:35:00+10:00,1137.349398,878,790,998,916
T09:35:00+10:00,1137.349398,865,783,996,936
T09:35:00+10:00,1137.349398,872,744,984,958
T09:35:00+10:00,1137.349398,853,752,1002,965
T09:40:00+10:00,1137.349398,839,740,974,951
T09:40:00+10:00,1137.349398,838,744,1047,956
T09:40:00+10:00,1137.349398,827,742,1053,963
T09:40:00+10:00,1137.349398,811,736,1050,1010
T09:40:00+10:00,1137.349398,810,724,1046,999
T09:40:00+10:00,1183.614458,849,849,1059,1013
T09:40:00+10:00,1183.614458,813,922,1031,1023
T09:40:00+10:00,1183.614458,812,940,1068,1064
T09:40:00+10:00,1183.614458,824,956,1044,1052
T09:40:00+10:00,1183.614458,857,1043,1078,1032
T09:40:00+10:00,1183.614458,879,1097,1093,1092
T09:40:00+10:00,1183.614458,866,1067,1075,1078
T09:40:00+10:00,1183.614458,890,1106,1111,1042
T09:40:00+10:00,1183.614458,931,1106,1117,1042
T09:45:00+10:00,1183.614458,918,1116,1120,960
T09:45:00+10:00,1183.614458,877,1061,1130,967
T09:45:00+10:00,1183.614458,894,1095,1115,952
T09:45:00+10:00,1183.614458,871,990,1012,963
T09:45:00+10:00,1183.614458,857,1045,1023,956
T09:45:00+10:00,1187.46988,826,1042,1016,970
T09:45:00+10:00,1187.46988,842,1056,1000,1069
T09:45:00+10:00,1187.46988,834,1065,1057,1036
T09:45:00+10:00,1187.46988,848,1051,1057,1081
T09:45:00+10:00,1187.46988,834,1106,1003,1009
T09:45:00+10:00,1187.46988,859,1092,994,1018
T09:45:00+10:00,1187.46988,867,1108,1017,977
T09:45:00+10:00,1187.46988,859,1189,1007,971
T09:45:00+10:00,1187.46988,855,1195,998,1017
T09:45:00+10:00,1187.46988,866,1116,999,1020
T09:50:00+10:00,1187.46988,929,1020,1060,1052
T09:50:00+10:00,1187.46988,940,1029,1062,1050
T09:50:00+10:00,1187.46988,941,1044,1029,1110
T09:50:00+10:00,1187.46988,944,995,1040,1089
T09:50:00+10:00,1310.843373,936,984,1059,1046
T09:50:00+10:00,1310.843373,926,971,1060,1045
T09:50:00+10:00,1310.843373,938,960,1039,1022
T09:50:00+10:00,1310.843373,1030,936,1026,926
T09:50:00+10:00,1310.843373,1066,963,1041,898
T09:50:00+10:00,1310.843373,1021,938,1057,931
T09:50:00+10:00,1310.843373,1019,985,1019,917
T09:50:00+10:00,1310.843373,1051,1034,1027,975
T09:50:00+10:00,1310.843373,1043,1072,1042,958
T09:50:00+10:00,1310.843373,1023,1060,1038,1008
T09:55:00+10:00,1310.843373,1024,1082,1031,1015
T09:55:00+10:00,1310.843373,1044,1051,1041,1027
T09:55:00+10:00,1310.843373,1037,968,1071,989
T09:55:00+10:00,1310.843373,1033,953,1063,992
T09:55:00+10:00,516.626506,1036,940,1090,1004
T09:55:00+10:00,516.626506,1091,902,1106,1014
T09:55:00+10:00,516.626506,1122,933,1115,1024
T09:55:00+10:00,516.626506,1104,952,1131,1016
T09:55:00+10:00,516.626506,1104,1002,1025,1062
T09:55:00+10:00,516.626506,1122,1047,1015,1068
T09:55:00+10:00,516.626506,1081,1063,1013,978
T09:55:00+10:00,516.626506,1073,1041,1034,1004
T09:55:00+10:00,516.626506,1075,1060,1040,1042
T09:55:00+10:00,516.626506,1092,1014,1018,997
T10:00:00+10:00,516.626506,1181,1019,1037,993
T10:00:00+10:00,516.626506,1156,1027,1079,990
T10:00:00+10:00,516.626506,1112,1040,1060,971
T10:00:00+10:00,516.626506,1081,1017,1076,945
T10:00:00+10:00,439.5180723,1096,1000,1041,930
T10:00:00+10:00,439.5180723,1097,1047,1033,914
T10:00:00+10:00,439.5180723,1106,1054,1057,970
T10:00:00+10:00,439.5180723,1094,1061,1074,956
T10:00:00+10:00,439.5180723,1059,1040,1045,984
T10:00:00+10:00,439.5180723,1006,1058,1068,956
T10:00:00+10:00,439.5180723,976,1072,1021,971
T10:00:00+10:00,439.5180723,949,994,951,957
T10:00:00+10:00,439.5180723,986,993,948,966
T10:00:00+10:00,439.5180723,1004,998,956,959
T10:00:00+10:00,439.5180723,1028,1033,962,942
T10:05:00+10:00,439.5180723,989,1038,948,923
T10:05:00+10:00,439.5180723,995,1036,1010,879
T10:05:00+10:00,439.5180723,986,1039,1044,879
T10:05:00+10:00,1141.204819,977,1023,1041,874
T10:05:00+10:00,1141.204819,967,948,1031,875
T10:05:00+10:00,1141.204819,972,938,1054,926
T10:05:00+10:00,1141.204819,913,962,1078,917
T10:05:00+10:00,1141.204819,981,955,1066,966
T10:05:00+10:00,1141.204819,971,1024,1109,950
T10:05:00+10:00,1141.204819,992,1038,1098,988
T10:05:00+10:00,1141.204819,1003,1083,1013,996
T10:05:00+10:00,1141.204819,981,1069,1001,1022
